GEO_ID,FIPS,NAME,DP05_0068E,DP05_0069E,DP05_0070E,DP05_0071E,DP05_0072E,DP05_0073E,DP05_0074E,DP05_0076E,DP05_0081E,DP05_0069PE,DP05_0070PE,DP05_0071PE,DP05_0072PE,DP05_0073PE,DP05_0074PE,DP05_0076PE,DP05_0082PE,Percent Nonwhite
1400000U,06037104703,Census Tract 1047.03; Los Angeles County; California,2306,1592,181,33,60,0,1495,1874,432,69,7.8,1.4,2.6,0,64.8,81.3,8.8,91.2
1400000U,06037104704,Census Tract 1047.04; Los Angeles County; California,4662,2801,317,40,133,0,3169,3809,853,60.1,6.8,0.9,2.9,0,68,81.7,7.5,92.5
1400000U,06037104821,Census Tract 1048.21; Los Angeles County; California,3476,2072,0,45,58,0,2620,3249,227,59.6,0,1.3,1.7,0,75.4,93.5,4.3,95.7
1400000U,06037104822,Census Tract 1048.22; Los Angeles County; California,2199,1213,10,69,125,0,1633,2034,165,55.2,0.5,3.1,5.7,0,74.3,92.5,1.5,98.5
1400000U,06037104823,Census Tract 1048.23; Los Angeles County; California,3195,1918,169,54,373,0,2310,2639,556,60,5.3,1.7,11.7,0,72.3,82.6,1.4,98.6
1400000U,06037104824,Census Tract 1048.24; Los Angeles County; California,2582,1268,14,77,0,17,2156,2535,47,49.1,0.5,3,0,0.7,83.5,98.2,0.4,99.6
1400000U,06037106010,Census Tract 1060.10; Los Angeles County; California,4049,2793,51,34,195,33,2317,3042,1007,69,1.3,0.8,4.8,0.8,57.2,75.1,18.4,81.6
1400000U,06037106020,Census Tract 1060.20; Los Angeles County; California,4850,1822,226,298,455,0,3066,3664,1186,37.6,4.7,6.1,9.4,0,63.2,75.5,7.8,92.2
1400000U,06037106111,Census Tract 1061.11; Los Angeles County; California,4707,2635,358,193,563,0,1814,2726,1981,56,7.6,4.1,12,0,38.5,57.9,25.9,74.1
1400000U,06037106112,Census Tract 1061.12; Los Angeles County; California,5035,2788,120,342,446,0,2358,3622,1413,55.4,2.4,6.8,8.9,0,46.8,71.9,16.9,83.1
1400000U,06037106113,Census Tract 1061.13; Los Angeles County; California,3835,2310,94,134,675,26,1879,2656,1179,60.2,2.5,3.5,17.6,0.7,49,69.3,12,88
1400000U,06037106114,Census Tract 1061.14; Los Angeles County; California,6929,3436,104,106,856,41,4034,5757,1172,49.6,1.5,1.5,12.4,0.6,58.2,83.1,3.7,96.3
1400000U,06037106403,Census Tract 1064.03; Los Angeles County; California,3860,1892,204,52,87,67,2332,3209,651,49,5.3,1.3,2.3,1.7,60.4,83.1,8.4,91.6
1400000U,06037106405,Census Tract 1064.05; Los Angeles County; California,4149,2209,546,96,594,0,1933,3016,1133,53.2,13.2,2.3,14.3,0,46.6,72.7,11,89
1400000U,06037106406,Census Tract 1064.06; Los Angeles County; California,6292,3615,132,0,546,0,3356,4405,1887,57.5,2.1,0,8.7,0,53.3,70,19.7,80.3
1400000U,06037106407,Census Tract 1064.07; Los Angeles County; California,2333,1124,142,14,102,0,1330,1908,425,48.2,6.1,0.6,4.4,0,57,81.8,8.6,91.4
1400000U,06037106408,Census Tract 1064.08; Los Angeles County; California,3832,2150,172,194,64,5,2425,3451,381,56.1,4.5,5.1,1.7,0.1,63.3,90.1,4,96
1400000U,06037106510,Census Tract 1065.10; Los Angeles County; California,5599,2719,298,209,1214,18,2057,3249,2350,48.6,5.3,3.7,21.7,0.3,36.7,58,12.9,87.1
1400000U,06037106520,Census Tract 1065.20; Los Angeles County; California,5484,3164,263,115,119,0,2940,4779,705,57.7,4.8,2.1,2.2,0,53.6,87.1,4.5,95.5
1400000U,06037106603,Census Tract 1066.03; Los Angeles County; California,3681,2568,286,23,693,10,790,985,2696,69.8,7.8,0.6,18.8,0.3,21.5,26.8,45.9,54.1
1400000U,06037106604,Census Tract 1066.04; Los Angeles County; California,4349,2465,139,147,215,20,2732,3800,549,56.7,3.2,3.4,4.9,0.5,62.8,87.4,5,95
1400000U,06037106641,Census Tract 1066.41; Los Angeles County; California,2096,1608,71,12,476,0,184,166,1930,76.7,3.4,0.6,22.7,0,8.8,7.9,64.5,35.5
1400000U,06037106642,Census Tract 1066.42; Los Angeles County; California,3514,2922,60,39,337,0,587,734,2780,83.2,1.7,1.1,9.6,0,16.7,20.9,66,34
1400000U,06037106643,Census Tract 1066.43; Los Angeles County; California,4311,2664,340,0,835,0,676,468,3843,61.8,7.9,0,19.4,0,15.7,10.9,51.5,48.5
1400000U,06037106645,Census Tract 1066.45; Los Angeles County; California,3672,2808,31,155,571,0,407,1000,2672,76.5,0.8,4.2,15.6,0,11.1,27.2,55.9,44.1
1400000U,06037106646,Census Tract 1066.46; Los Angeles County; California,3092,1746,313,13,744,0,696,799,2293,56.5,10.1,0.4,24.1,0,22.5,25.8,40.1,59.9
1400000U,06037106648,Census Tract 1066.48; Los Angeles County; California,4713,3029,29,375,0,35,2732,4322,391,64.3,0.6,8,0,0.7,58,91.7,7,93
1400000U,06037106649,Census Tract 1066.49; Los Angeles County; California,2689,865,25,61,512,29,1599,1860,829,32.2,0.9,2.3,19,1.1,59.5,69.2,10,90
1400000U,06037107010,Census Tract 1070.10; Los Angeles County; California,2997,1517,14,138,68,0,1843,2726,271,50.6,0.5,4.6,2.3,0,61.5,91,5.5,94.5
1400000U,06037107020,Census Tract 1070.20; Los Angeles County; California,4921,2565,75,159,223,135,3132,4296,625,52.1,1.5,3.2,4.5,2.7,63.6,87.3,6.4,93.6
1400000U,06037108101,Census Tract 1081.01; Los Angeles County; California,2128,1455,57,133,550,21,292,407,1721,68.4,2.7,6.3,25.8,1,13.7,19.1,52.6,47.4
1400000U,06037108102,Census Tract 1081.02; Los Angeles County; California,3477,1934,113,0,1394,0,283,362,3115,55.6,3.2,0,40.1,0,8.1,10.4,49.9,50.1
1400000U,06037108103,Census Tract 1081.03; Los Angeles County; California,3053,2060,115,0,897,0,272,257,2796,67.5,3.8,0,29.4,0,8.9,8.4,56.8,43.2
1400000U,06037108104,Census Tract 1081.04; Los Angeles County; California,1754,1128,80,6,431,0,253,121,1633,64.3,4.6,0.3,24.6,0,14.4,6.9,57.7,42.3
1400000U,06037108202,Census Tract 1082.02; Los Angeles County; California,10248,4048,1728,0,4163,435,965,1061,9187,39.5,16.9,0,40.6,4.2,9.4,10.4,30.9,69.1
1400000U,06037108203,Census Tract 1082.03; Los Angeles County; California,3157,1397,352,99,1357,9,60,249,2908,44.3,11.1,3.1,43,0.3,1.9,7.9,38,62
1400000U,06037108204,Census Tract 1082.04; Los Angeles County; California,1782,757,105,16,958,0,44,108,1674,42.5,5.9,0.9,53.8,0,2.5,6.1,36.1,63.9
1400000U,06037109100,Census Tract 1091; Los Angeles County; California,2861,1573,128,71,531,0,1026,1293,1568,55,4.5,2.5,18.6,0,35.9,45.2,32.7,67.3
1400000U,06037109200,Census Tract 1092; Los Angeles County; California,2863,1466,87,0,1083,0,608,665,2198,51.2,3,0,37.8,0,21.2,23.2,36.7,63.3
1400000U,06037109300,Census Tract 1093; Los Angeles County; California,2905,2017,93,35,599,0,914,1327,1578,69.4,3.2,1.2,20.6,0,31.5,45.7,28.3,71.7
1400000U,06037109400,Census Tract 1094; Los Angeles County; California,3620,1687,46,150,248,0,2617,2863,757,46.6,1.3,4.1,6.9,0,72.3,79.1,13,87
1400000U,06037109500,Census Tract 1095; Los Angeles County; California,3907,1376,58,162,139,19,2693,3441,466,35.2,1.5,4.1,3.6,0.5,68.9,88.1,6.9,93.1
1400000U,06037109601,Census Tract 1096.01; Los Angeles County; California,5042,2723,227,84,600,135,2566,3025,2017,54,4.5,1.7,11.9,2.7,50.9,60,23.2,76.8
1400000U,06037109603,Census Tract 1096.03; Los Angeles County; California,4038,1144,84,32,684,50,2515,2957,1081,28.3,2.1,0.8,16.9,1.2,62.3,73.2,10,90
1400000U,06037109604,Census Tract 1096.04; Los Angeles County; California,2721,1290,142,198,315,1,1288,1929,792,47.4,5.2,7.3,11.6,0,47.3,70.9,13.9,86.1
1400000U,06037109700,Census Tract 1097; Los Angeles County; California,4259,2773,166,80,1000,166,1096,1564,2695,65.1,3.9,1.9,23.5,3.9,25.7,36.7,33.9,66.1
1400000U,06037109800,Census Tract 1098; Los Angeles County; California,4625,3250,94,374,473,34,1515,2227,2398,70.3,2,8.1,10.2,0.7,32.8,48.2,35.4,64.6
1400000U,06037111100,Census Tract 1111; Los Angeles County; California,2965,1567,30,269,641,9,907,1429,1536,52.8,1,9.1,21.6,0.3,30.6,48.2,28.7,71.3
1400000U,06037111201,Census Tract 1112.01; Los Angeles County; California,3275,1943,43,16,640,0,1125,1644,1631,59.3,1.3,0.5,19.5,0,34.4,50.2,28.7,71.3
1400000U,06037111202,Census Tract 1112.02; Los Angeles County; California,5742,3495,206,108,1567,6,1680,1754,3988,60.9,3.6,1.9,27.3,0.1,29.3,30.5,37.5,62.5
1400000U,06037111204,Census Tract 1112.04; Los Angeles County; California,5902,3593,326,17,1903,0,1283,1372,4530,60.9,5.5,0.3,32.2,0,21.7,23.2,43.5,56.5
1400000U,06037111205,Census Tract 1112.05; Los Angeles County; California,3627,1829,116,8,1137,0,881,1029,2598,50.4,3.2,0.2,31.3,0,24.3,28.4,36.4,63.6
1400000U,06037111206,Census Tract 1112.06; Los Angeles County; California,4295,3024,238,118,1013,46,562,929,3366,70.4,5.5,2.7,23.6,1.1,13.1,21.6,49.6,50.4
1400000U,06037111302,Census Tract 1113.02; Los Angeles County; California,4967,2757,361,135,1100,178,1314,1425,3542,55.5,7.3,2.7,22.1,3.6,26.5,28.7,42.7,57.3
1400000U,06037111303,Census Tract 1113.03; Los Angeles County; California,4567,3373,186,16,858,0,1042,1343,3224,73.9,4.1,0.4,18.8,0,22.8,29.4,50.5,49.5
1400000U,06037111304,Census Tract 1113.04; Los Angeles County; California,3082,884,538,99,610,0,1658,1520,1562,28.7,17.5,3.2,19.8,0,53.8,49.3,11.4,88.6
1400000U,06037111401,Census Tract 1114.01; Los Angeles County; California,2193,1357,93,88,403,0,659,870,1323,61.9,4.2,4,18.4,0,30.1,39.7,38.1,61.9
1400000U,06037111402,Census Tract 1114.02; Los Angeles County; California,5998,3895,18,49,990,0,1603,2322,3676,64.9,0.3,0.8,16.5,0,26.7,38.7,44.8,55.2
1400000U,06037113101,Census Tract 1131.01; Los Angeles County; California,3540,2576,141,33,621,36,409,553,2987,72.8,4,0.9,17.5,1,11.6,15.6,61.4,38.6
1400000U,06037113102,Census Tract 1131.02; Los Angeles County; California,2980,2208,58,0,896,0,434,646,2334,74.1,1.9,0,30.1,0,14.6,21.7,44.2,55.8
